"id","id_github.covid19datahub.covid19br","id_github.oxcgrt.covidpolicytracker","id_github.wcota.covid19br","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source","population_data_source_url"
"b85a6843",2703403,"BR_AL","2703403",3,"Alagoas","Jacaré dos Homens",,"BRA.2.37_1",,,"BRAL2703403","2703403",-9.6615715,-37.2360072888123,5219,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"ce9f32e2",2703502,"BR_AL","2703502",3,"Alagoas","Jacuípe",,"BRA.2.38_1",,,"BRAL2703502","2703502",-8.890238285,-35.4439066965067,7006,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"55d0dd01",2703601,"BR_AL","2703601",3,"Alagoas","Japaratinga",,"BRA.2.39_1",,,"BRAL2703601","2703601",-9.092223165,-35.2951520699019,8403,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"231587a0",2703700,"BR_AL","2703700",3,"Alagoas","Jaramataia",,"BRA.2.40_1",,,"BRAL2703700","2703700",-9.660428525,-37.0092178545859,5761,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"27becb41",2703759,"BR_AL","2703759",3,"Alagoas","Jequiá da Praia",,,,,"BRAL2703759","2703759",-10.0092595,-36.0232787,11536,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"51957839",2703809,"BR_AL","2703809",3,"Alagoas","Joaquim Gomes",,"BRA.2.41_1",,,"BRAL2703809","2703809",-9.091056825,-35.778763182707,24081,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"27502298",2703908,"BR_AL","2703908",3,"Alagoas","Jundiá",,"BRA.2.42_1",,,"BRAL2703908","2703908",-8.96670294,-35.5241671626129,4137,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"cbe75d13",2704005,"BR_AL","2704005",3,"Alagoas","Junqueiro",,"BRA.2.43_1","ChIJj5vwhtkvBAcRD9Fzozd_SYw",,"BRAL2704005","2704005",-9.87223196,-36.4120030051109,24722,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"bd2207b2",2704104,"BR_AL","2704104",3,"Alagoas","Lagoa da Canoa",,"BRA.2.44_1",,,"BRAL2704104","2704104",-9.79859686,-36.7292288735005,17771,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"21002c48",2704203,"BR_AL","2704203",3,"Alagoas","Limoeiro de Anadia",,"BRA.2.45_1","ChIJxaNJHBWCBgcR1ePMULYSnmI",,"BRAL2704203","2704203",-9.742719175,-36.4599939797357,28771,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"57c576e9",2704302,"BR_AL","2704302",3,"Alagoas","Maceió",,"BRA.2.46_1","ChIJVbwelPI4AQcREzU6z94wFg0",,"BRAL2704302","2704302",-9.527637955,-35.6926759325148,1025360,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"cb8331d6",2704401,"BR_AL","2704401",3,"Alagoas","Major Isidoro",,"BRA.2.47_1",,,"BRAL2704401","2704401",-9.511334415,-37.0207215827567,19864,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"5d3f3726",2704906,"BR_AL","2704906",3,"Alagoas","Mar Vermelho",,"BRA.2.48_1",,,"BRAL2704906","2704906",-9.47899675,-36.3636361141208,3494,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
